name,link
Sunnyside Medical Cannabis Dispensary - Tallahassee,https://weedmaps.com/dispensaries/sunnyside-medical-cannabis-dispensary-tallahassee
Trulieve - Tallahassee Capital Circle,https://weedmaps.com/dispensaries/trulieve-tallahassee
AYR Cannabis Dispensary Tallahassee,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-tallahassee
Green Dragon - Tallahassee Gaines St,https://weedmaps.com/dispensaries/green-dragon-tallahassee-gaines-st
Curaleaf - Tallahassee TN st.,https://weedmaps.com/dispensaries/curaleaf-tallahassee-tn-st
AYR Cannabis Dispensary Lake City,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-lake-city
Trulieve - Fernandina Beach,https://weedmaps.com/dispensaries/trulieve-fernandina-beach
MÜV Dispensary Jacksonville - Hendricks,https://weedmaps.com/dispensaries/muv-jacksonville
Curaleaf - Jacksonville,https://weedmaps.com/dispensaries/curaleaf-103rd-st
Curaleaf - Jacksonville San Jose,https://weedmaps.com/dispensaries/curaleaf-jacksonville
Trulieve - Jacksonville,https://weedmaps.com/dispensaries/trulieve-jacksonville
AYR Cannabis Dispensary Orange Park,https://weedmaps.com/dispensaries/liberty-health-sciences-orange-park
Trulieve - Orange Park,https://weedmaps.com/dispensaries/trulieve-orange-park
Curaleaf - Orange Park,https://weedmaps.com/dispensaries/curaleaf-orange-park
Green Dragon - Orange Park,https://weedmaps.com/dispensaries/green-dragon-orange-park
Green Dragon - East Jacksonville,https://weedmaps.com/dispensaries/green-dragon-east-jacksonville
AYR Cannabis Dispensary Jacksonville Philips,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-jacksonville-philips
Fluent - Jacksonville,https://weedmaps.com/dispensaries/knox-medical-jacksonville
The Flowery - Jacksonville,https://weedmaps.com/dispensaries/the-flowery-jacksonville
VidaCann - Jacksonville,https://weedmaps.com/dispensaries/vidacann-jacksonville
Sunnyside Medical Cannabis Dispensary (formerly One Plant) - Jacksonville Beach,https://weedmaps.com/dispensaries/one-plant-jacksonville
MÜV Dispensary Jacksonville Beach,https://weedmaps.com/dispensaries/muv-jacksonville-beach
Trulieve - Jacksonville Beach,https://weedmaps.com/dispensaries/trulieve-jacksonville-beach
AYR Cannabis Dispensary Jacksonville Beach,https://weedmaps.com/dispensaries/ayr-cannabis-dispensary-jacksonville-beach
